Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 pentagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
  139.0000         -0.61870356         -0.62334336         -0.62676303         -0.62797879         -0.61501409 
  140.0000         -0.61859506         -0.62311375         -0.62678909         -0.62795769         -0.61498751 
  141.0000         -0.61847609         -0.62291238         -0.62675371         -0.62796658         -0.61492721 
  142.0000         -0.61838781         -0.62269189         -0.62675741         -0.62794971         -0.61491171 
  143.0000         -0.61834983         -0.62246367         -0.62672472         -0.62798150         -0.61492632 
  144.0000         -0.61835698         -0.62219355         -0.62666501         -0.62799270         -0.61497111 
  145.0000         -0.61833001         -0.62200846         -0.62672334         -0.62796792         -0.61492642 
  146.0000         -0.61834800         -0.62178560         -0.62673501         -0.62794240         -0.61492187 
  147.0000         -0.61846086         -0.62159662         -0.62673000         -0.62795646         -0.61489298 
  148.0000         -0.61860473         -0.62141328         -0.62671935         -0.62794506         -0.61495413 
  149.0000         -0.61868376         -0.62121259         -0.62671690         -0.62798337         -0.61499196 
  150.0000         -0.61881169         -0.62100141         -0.62669363         -0.62794324         -0.61497636 
  151.0000         -0.61894272         -0.62082549         -0.62668448         -0.62798338         -0.61499196 
  152.0000         -0.61908554         -0.62063638         -0.62664948         -0.62794507         -0.61495414 
  153.0000         -0.61927370         -0.62048000         -0.62664773         -0.62795647         -0.61489300 
  154.0000         -0.61944160         -0.62038292         -0.62666523         -0.62794241         -0.61492190 
  155.0000         -0.61963269         -0.62029201         -0.62670819         -0.62796794         -0.61492645 
  156.0000         -0.61984514         -0.62021736         -0.62670572         -0.62799271         -0.61497115 
  157.0000         -0.62003256         -0.62009504         -0.62665759         -0.62798152         -0.61492636 
  158.0000         -0.62019905         -0.62002965         -0.62667870         -0.62794973         -0.61491176 
  159.0000         -0.62042659         -0.61991923         -0.62667602         -0.62796661         -0.61492726 
  160.0000         -0.62060990         -0.61982890         -0.62659009         -0.62795771         -0.61498756 
  161.0000         -0.62079677         -0.61982240         -0.62656938         -0.62797881         -0.61501415 
  162.0000         -0.62103507         -0.61976604         -0.62650988         -0.62793162         -0.61501670 
  163.0000         -0.62117410         -0.61982902         -0.62655582         -0.62795880         -0.61502996 
  164.0000         -0.62145112         -0.61987688         -0.62657340         -0.62794232         -0.61498416 
  165.0000         -0.62171042         -0.61991938         -0.62655686         -0.62793103         -0.61496884 
  166.0000         -0.62189563         -0.62002615         -0.62651731         -0.62793917         -0.61494847 
  167.0000         -0.62209974         -0.62011698         -0.62649420         -0.62795665         -0.61500723 
  168.0000         -0.62232533         -0.62023480         -0.62653099         -0.62795375         -0.61505557 
  169.0000         -0.62246702         -0.62031451         -0.62651325         -0.62795965         -0.61503320 
  170.0000         -0.62261692         -0.62042011         -0.62644172         -0.62788084         -0.61498527 
  171.0000         -0.62281902         -0.62054106         -0.62641152         -0.62791114         -0.61501115 
  172.0000         -0.62297153         -0.62069563         -0.62640195         -0.62795139         -0.61508594 
  173.0000         -0.62314732         -0.62087728         -0.62639247         -0.62794755         -0.61511100 
  174.0000         -0.62328214         -0.62106453         -0.62640825         -0.62792521         -0.61512092 
  175.0000         -0.62340378         -0.62127622         -0.62641010         -0.62793853         -0.61513068 
  176.0000         -0.62353096         -0.62147125         -0.62637760         -0.62791367         -0.61508051 
  177.0000         -0.62362833         -0.62166318         -0.62641001         -0.62791429         -0.61504489 
  178.0000         -0.62366058         -0.62185536         -0.62638948         -0.62788025         -0.61503815 
  179.0000         -0.62369658         -0.62205043         -0.62638401         -0.62792572         -0.61506519 
  180.0000         -0.62370709         -0.62226636         -0.62634389         -0.62794649         -0.61510592 
  181.0000         -0.62369658         -0.62252164         -0.62638401         -0.62792661         -0.61506519 
  182.0000         -0.62366058         -0.62272890         -0.62638948         -0.62789666         -0.61503815 
  183.0000         -0.62362833         -0.62294669         -0.62641002         -0.62792091         -0.61504489 
  184.0000         -0.62353097         -0.62312989         -0.62637760         -0.62791028         -0.61508052 
  185.0000         -0.62340378         -0.62337030         -0.62641010         -0.62794995         -0.61513068 
  186.0000         -0.62328214         -0.62355173         -0.62640825         -0.62789191         -0.61512093 
  187.0000         -0.62314733         -0.62372218         -0.62639247         -0.62795799         -0.61511101 
