Interaction Energy (eV) based on different positions during vertical rotation around z axis
C60 hexagone-down orientation
rotation Degree     point 1             point 2             point 3             point 4             point 5
  101.0000         -0.64424027         -0.64536279         -0.64830912         -0.64857858         -0.64022290 
  102.0000         -0.64413314         -0.64527699         -0.64839022         -0.64870531         -0.63999918 
  103.0000         -0.64414326         -0.64527475         -0.64846517         -0.64886603         -0.63972156 
  104.0000         -0.64405328         -0.64524650         -0.64863621         -0.64904958         -0.63949256 
  105.0000         -0.64396796         -0.64521200         -0.64870862         -0.64922396         -0.63931927 
  106.0000         -0.64388273         -0.64518190         -0.64880516         -0.64939471         -0.63907305 
  107.0000         -0.64380863         -0.64512212         -0.64883173         -0.64950060         -0.63876977 
  108.0000         -0.64376163         -0.64506800         -0.64889655         -0.64966101         -0.63855229 
  109.0000         -0.64368680         -0.64501501         -0.64893834         -0.64978929         -0.63825263 
  110.0000         -0.64357020         -0.64499322         -0.64900569         -0.64991372         -0.63795909 
  111.0000         -0.64351732         -0.64492351         -0.64905398         -0.64993919         -0.63768374 
  112.0000         -0.64342962         -0.64489569         -0.64910184         -0.65005267         -0.63747894 
  113.0000         -0.64336754         -0.64486057         -0.64915393         -0.65009572         -0.63731862 
  114.0000         -0.64329194         -0.64484267         -0.64918471         -0.65018645         -0.63713013 
  115.0000         -0.64325764         -0.64480223         -0.64918746         -0.65030979         -0.63700405 
  116.0000         -0.64324032         -0.64473473         -0.64920218         -0.65045952         -0.63694693 
  117.0000         -0.64317513         -0.64467983         -0.64922818         -0.65057501         -0.63684617 
  118.0000         -0.64316705         -0.64465278         -0.64924566         -0.65054337         -0.63666848 
  119.0000         -0.64317666         -0.64468374         -0.64925902         -0.65049186         -0.63653344 
  120.0000         -0.64312906         -0.64468929         -0.64932281         -0.65044456         -0.63649505 
  121.0000         -0.64318356         -0.64466431         -0.64926783         -0.65048056         -0.63653344 
  122.0000         -0.64319572         -0.64464796         -0.64924861         -0.65054973         -0.63666848 
  123.0000         -0.64318094         -0.64462951         -0.64924014         -0.65063303         -0.63684617 
  124.0000         -0.64323321         -0.64464943         -0.64919830         -0.65061294         -0.63694693 
  125.0000         -0.64325731         -0.64463799         -0.64916772         -0.65053822         -0.63700405 
  126.0000         -0.64330840         -0.64471908         -0.64918390         -0.65046385         -0.63713014 
  127.0000         -0.64337576         -0.64473859         -0.64915731         -0.65051942         -0.63731862 
  128.0000         -0.64343933         -0.64473188         -0.64909944         -0.65045288         -0.63747894 
  129.0000         -0.64351359         -0.64473351         -0.64906052         -0.65037931         -0.63768374 
  130.0000         -0.64357268         -0.64475783         -0.64899631         -0.65042762         -0.63795909 
  131.0000         -0.64370035         -0.64479878         -0.64891324         -0.65031084         -0.63825263 
  132.0000         -0.64378103         -0.64484144         -0.64885567         -0.65027277         -0.63855229 
  133.0000         -0.64382868         -0.64492017         -0.64881983         -0.65017078         -0.63876978 
  134.0000         -0.64389335         -0.64497580         -0.64880242         -0.65013001         -0.63907305 
  135.0000         -0.64398872         -0.64494801         -0.64870024         -0.65017012         -0.63931927 
  136.0000         -0.64407885         -0.64498068         -0.64860749         -0.65000987         -0.63949256 
  137.0000         -0.64416356         -0.64500400         -0.64846071         -0.64992739         -0.63972156 
  138.0000         -0.64415788         -0.64498793         -0.64838023         -0.64980014         -0.63999918 
  139.0000         -0.64425920         -0.64501183         -0.64828358         -0.64970969         -0.64022290 
  140.0000         -0.64428739         -0.64506501         -0.64821079         -0.64953331         -0.64040073 
  141.0000         -0.64431142         -0.64504645         -0.64812769         -0.64946926         -0.64063920 
  142.0000         -0.64437600         -0.64513049         -0.64803965         -0.64944921         -0.64084104 
  143.0000         -0.64445978         -0.64512339         -0.64795281         -0.64944858         -0.64105879 
  144.0000         -0.64449264         -0.64509941         -0.64790780         -0.64941975         -0.64128132 
  145.0000         -0.64454883         -0.64511268         -0.64788935         -0.64941600         -0.64136686 
  146.0000         -0.64456845         -0.64513302         -0.64781399         -0.64941450         -0.64151193 
  147.0000         -0.64459511         -0.64510191         -0.64775751         -0.64938771         -0.64160683 
  148.0000         -0.64465366         -0.64511799         -0.64775970         -0.64936408         -0.64170477 
  149.0000         -0.64466499         -0.64509545         -0.64775024         -0.64938874         -0.64174664 
  150.0000         -0.64467852         -0.64516928         -0.64779001         -0.64939405         -0.64179094 
  151.0000         -0.64463447         -0.64511550         -0.64776509         -0.64938874         -0.64174664 
  152.0000         -0.64463161         -0.64512327         -0.64774960         -0.64936408         -0.64170477 
  153.0000         -0.64461549         -0.64511228         -0.64775727         -0.64938771         -0.64160683 
  154.0000         -0.64458084         -0.64515835         -0.64780871         -0.64941450         -0.64151193 
  155.0000         -0.64458806         -0.64513312         -0.64789882         -0.64941600         -0.64136686 
  156.0000         -0.64447905         -0.64512973         -0.64790715         -0.64941975         -0.64128132 
