    time (ps)       MSD(A2) @ 35K       MSD(A2) @ 50K       MSD(A2) @ 60K       MSD(A2) @ 75K       MSD(A2) @ 100K     MSD(A2) @ 150K        
   91.2000       2314.21138638       1003.65641045        860.39771201        515.50056898        260.52178058        169.69974484 
   91.4000       2323.19743119       1007.02492513        863.03636880        516.94140934        261.29030185        170.22768613 
   91.6000       2332.27774777       1010.39144498        865.65873649        518.38828059        262.05251479        170.75130657 
   91.8000       2341.43638456       1013.76087241        868.27618422        519.83389104        262.80510449        171.27408189 
   92.0000       2350.65881367       1017.15451246        870.90744017        521.27447443        263.56391956        171.79246962 
   92.2000       2359.87699601       1020.56804681        873.58821819        522.69976821        264.32065100        172.31448819 
   92.4000       2369.12195237       1024.02386074        876.30341243        524.13144684        265.06106393        172.83529823 
   92.6000       2378.33282850       1027.49888722        879.04338116        525.54635036        265.78809124        173.35071094 
   92.8000       2387.56516007       1030.99343507        881.81529179        526.92220607        266.51521236        173.86366727 
   93.0000       2396.85376955       1034.49390621        884.61837752        528.27996644        267.24161618        174.37920696 
   93.2000       2406.15645309       1038.01989386        887.45211812        529.62441253        267.96234049        174.88771302 
   93.4000       2415.43495693       1041.56280527        890.28717442        530.96193547        268.67831078        175.38592207 
   93.6000       2424.80378687       1045.11001607        893.11567320        532.29987461        269.40871061        175.88265151 
   93.8000       2434.15680617       1048.67876896        895.92697825        533.63794533        270.14736825        176.37859003 
   94.0000       2443.48862989       1052.21855639        898.75669539        534.99052692        270.89982213        176.87230585 
   94.2000       2452.84509691       1055.76610834        901.60650597        536.36901788        271.67900724        177.36030168 
   94.4000       2462.19182626       1059.30790760        904.46389267        537.77488958        272.47977852        177.84422520 
   94.6000       2471.52296687       1062.87371898        907.32411813        539.19696424        273.29999242        178.32841227 
   94.8000       2480.86904436       1066.42798227        910.19346879        540.63336100        274.13535838        178.81806648 
   95.0000       2490.17676717       1069.99485749        913.05597576        542.06785634        274.97380385        179.31181271 
   95.2000       2499.46099253       1073.59352438        915.91291737        543.49890870        275.80445192        179.80832285 
   95.4000       2508.73469485       1077.25227936        918.76452806        544.91767154        276.63422230        180.30733518 
   95.6000       2517.99823431       1080.91886629        921.60858994        546.33712506        277.47285704        180.81089352 
   95.8000       2527.33636879       1084.60276361        924.44303427        547.74327527        278.30406532        181.32089492 
   96.0000       2536.73873577       1088.29668236        927.28589122        549.12889460        279.12313899        181.83097568 
   96.2000       2546.13748094       1091.99022861        930.14930536        550.49529248        279.93122080        182.35387125 
   96.4000       2555.51347051       1095.67080188        933.02526010        551.84949687        280.74206935        182.87656084 
   96.6000       2564.93012057       1099.32519697        935.91201988        553.18379775        281.54281278        183.39654605 
   96.8000       2574.33531728       1102.93508687        938.77243778        554.52163357        282.33115834        183.91162487 
   97.0000       2583.70892834       1106.50345928        941.66285368        555.84964979        283.11753329        184.42116432 
   97.2000       2593.17111128       1110.03038255        944.56317438        557.16824038        283.90515319        184.91157730 
   97.4000       2602.62885186       1113.49852552        947.44814674        558.49656894        284.69226668        185.37930280 
   97.6000       2612.07463322       1116.89239112        950.29684511        559.81955980        285.48121958        185.81661161 
   97.8000       2621.49367945       1120.27953740        953.12254309        561.12221129        286.26055714        186.23966380 
   98.0000       2630.88987976       1123.69405597        955.92200231        562.40966496        287.02893247        186.65486382 
   98.2000       2640.30866655       1127.12147114        958.70858752        563.70427992        287.79395813        187.05104583 
   98.4000       2649.65782937       1130.58083645        961.47605070        564.98577608        288.55877803        187.44334988 
   98.6000       2658.95362696       1134.04112127        964.27179965        566.27347542        289.31648236        187.83016554 
   98.8000       2668.30920756       1137.47713343        967.11642768        567.55252975        290.06111980        188.21952352 
   99.0000       2677.65869965       1140.91897587        970.04355799        568.82317843        290.79291042        188.60541497 
   99.2000       2686.97923451       1144.33620230        973.00051462        570.10234261        291.51499033        188.98782239 
   99.4000       2696.28847233       1147.72694590        975.99568790        571.38377453        292.22832788        189.37549427 
   99.6000       2705.67590094       1151.11675643        979.02241258        572.64903800        292.94132521        189.77630817 
   99.8000       2715.05731079       1154.49407109        982.07198955        573.92134514        293.65043924        190.19006092 
  100.0000       2724.41930493       1157.88936753        985.08948433        575.21188513        294.35641979        190.61887261 
  100.2000       2733.82573167       1161.30831832        988.13021139        576.53525576        295.08320314        191.05163581 
  100.4000       2743.25027404       1164.72550748        991.14746570        577.88023972        295.82375817        191.48465544 
  100.6000       2752.69141837       1168.10081814        994.11747080        579.25403576        296.57907878        191.92116056 
  100.8000       2762.11811989       1171.43991182        997.09219464        580.65869814        297.34502836        192.35521153 
  101.0000       2771.46339807       1174.74182083       1000.04406804        582.09955836        298.11597771        192.79616133 
  101.2000       2780.74414804       1178.00768787       1002.95469842        583.57904325        298.91697172        193.23491473 
  101.4000       2789.98048492       1181.26466810       1005.85798804        585.08917717        299.73395888        193.67132002 
  101.6000       2799.22638817       1184.52662897       1008.72564360        586.59134156        300.56201423        194.10096822 
  101.8000       2808.41938401       1187.79965905       1011.55845936        588.08449488        301.40288028        194.51602396 
  102.0000       2817.59903730       1191.05228489       1014.34100712        589.57267808        302.24798253        194.92669324 
  102.2000       2826.62509538       1194.25856885       1017.06519155        591.05694912        303.09341468        195.33025451 
  102.4000       2835.62459692       1197.43063221       1019.72729648        592.51423411        303.94321679        195.72007958 
  102.6000       2844.59456797       1200.60032524       1022.38003783        593.95502819        304.79790790        196.10171426 
  102.8000       2853.65702139       1203.77849565       1025.01664762        595.36968633        305.65409809        196.46452817 
  103.0000       2862.75142685       1206.96762591       1027.63559259        596.75833951        306.49322994        196.81410843 
  103.2000       2871.86145193       1210.16894020       1030.22072747        598.12398542        307.31520409        197.14622096 
  103.4000       2880.98394999       1213.37621318       1032.76196102        599.47708858        308.12477682        197.46503642 
  103.6000       2890.13308143       1216.58113423       1035.32540394        600.80452651        308.91818215        197.77872999 
  103.8000       2899.28779452       1219.76521578       1037.92733968        602.13080239        309.69311325        198.08233056 
  104.0000       2908.44826806       1222.92237915       1040.54658881        603.46135197        310.44121549        198.37449396 
  104.2000       2917.66909341       1226.02664749       1043.21231391        604.78076105        311.16689613        198.65437736 
  104.4000       2926.92714054       1229.09255818       1045.89696494        606.10196743        311.88334772        198.92521641 
  104.6000       2936.29656753       1232.12922492       1048.58433772        607.40401014        312.59949228        199.18465594 
  104.8000       2945.74868261       1235.16373456       1051.32768891        608.70357429        313.29656820        199.44312040 
  105.0000       2955.25614264       1238.19426988       1054.13906679        610.00754229        313.98820001        199.70187618 
  105.2000       2964.74618184       1241.22984937       1057.02354365        611.33551179        314.69247432        199.96412311 
  105.4000       2974.24130116       1244.31197228       1059.95335753        612.69261365        315.40224646        200.22525241 
  105.6000       2983.77449330       1247.43040238       1062.90985795        614.08279486        316.11714567        200.49950533 
  105.8000       2993.28313717       1250.58214600       1065.91533738        615.51194375        316.83450896        200.78562180 
  106.0000       3002.68801591       1253.76070325       1068.95249764        616.98323690        317.55810921        201.07859996 
  106.2000       3012.07677618       1256.93412113       1072.01724370        618.50589646        318.28511462        201.39238396 
  106.4000       3021.32087104       1260.09040485       1075.10996643        620.05960695        318.99748569        201.71354988 
  106.6000       3030.55270071       1263.24653809       1078.21401098        621.65814743        319.70048387        202.03878062 
  106.8000       3039.82019024       1266.42254864       1081.33156405        623.29759797        320.39410368        202.37527706 
  107.0000       3049.10703560       1269.62743375       1084.46021827        624.99218516        321.07667085        202.71191629 
  107.2000       3058.32982232       1272.81462025       1087.62222557        626.72726227        321.75048123        203.05478938 
  107.4000       3067.57092841       1275.99257570       1090.81913738        628.47378397        322.42231839        203.39823676 
  107.6000       3076.73191541       1279.16051155       1094.06679440        630.22826024        323.10467232        203.74605202 
  107.8000       3085.80508100       1282.29076477       1097.32229296        631.99229050        323.79117001        204.09293064 
  108.0000       3094.82584813       1285.38843547       1100.58237692        633.77713432        324.47436224        204.45272475 
  108.2000       3103.82448120       1288.41226085       1103.80787935        635.57133798        325.15885077        204.81557071 
  108.4000       3112.78119508       1291.38804930       1107.02812894        637.37749970        325.84142149        205.17963404 
  108.6000       3121.70710562       1294.33961319       1110.24934954        639.19863205        326.51480374        205.55297147 
  108.8000       3130.61350158       1297.28879501       1113.43850589        641.04169161        327.19382458        205.92793231 
  109.0000       3139.59670639       1300.27010914       1116.63999425        642.89706208        327.86444096        206.29485167 
