   log t (ps)      log MSD(A2)@ 5 K     log MSD(A2)@ 10 K   log MSD(A2)@ 20 K   log MSD(A2)@ 30 K   log MSD(A2)@ 60 K   log MSD(A2)@ 100 K  log MSD(A2)@ 300 K  log MSD(A2)@ 500 K    
    2.5398          5.03436037          4.79210862          3.79482683          3.41441576          2.75435602          2.21085848          1.76940554          1.24290987 
    2.5401          5.03482200          4.79257068          3.79527253          3.41445614          2.75490962          2.21138324          1.77013341          1.24292013 
    2.5403          5.03528555          4.79303324          3.79571129          3.41449783          2.75545773          2.21191370          1.77084488          1.24298501 
    2.5406          5.03574993          4.79349809          3.79614516          3.41453863          2.75602180          2.21244724          1.77150937          1.24311404 
    2.5408          5.03621459          4.79396193          3.79657536          3.41459295          2.75657347          2.21296940          1.77212120          1.24333066 
    2.5411          5.03667586          4.79442315          3.79700894          3.41464354          2.75712084          2.21347490          1.77267171          1.24364702 
    2.5413          5.03713224          4.79488361          3.79744655          3.41469871          2.75767768          2.21396555          1.77317934          1.24404736 
    2.5416          5.03758806          4.79534471          3.79788712          3.41475538          2.75825255          2.21444325          1.77362714          1.24452408 
    2.5418          5.03804462          4.79580323          3.79833258          3.41481571          2.75883110          2.21490069          1.77403903          1.24505510 
    2.5421          5.03850388          4.79625665          3.79878631          3.41487842          2.75941737          2.21533779          1.77441490          1.24558380 
    2.5423          5.03896033          4.79670839          3.79924341          3.41493839          2.76000445          2.21575931          1.77475195          1.24614082 
    2.5426          5.03941682          4.79716240          3.79970643          3.41498938          2.76060285          2.21618732          1.77505084          1.24672348 
    2.5428          5.03987542          4.79761359          3.80017251          3.41504415          2.76121224          2.21660682          1.77532590          1.24730681 
    2.5431          5.04033001          4.79806275          3.80063428          3.41510441          2.76182710          2.21701507          1.77559949          1.24791162 
    2.5433          5.04078728          4.79851015          3.80109100          3.41516801          2.76244278          2.21742597          1.77586663          1.24849282 
    2.5436          5.04124571          4.79895513          3.80154255          3.41524247          2.76304718          2.21784961          1.77610521          1.24906235 
    2.5438          5.04170414          4.79939880          3.80199167          3.41531863          2.76364691          2.21827010          1.77632286          1.24961287 
    2.5441          5.04216593          4.79984335          3.80244329          3.41539518          2.76423336          2.21869191          1.77653700          1.25010498 
    2.5443          5.04263460          4.80028536          3.80289250          3.41548579          2.76480473          2.21910031          1.77675046          1.25056554 
    2.5446          5.04310107          4.80072505          3.80334432          3.41558638          2.76535878          2.21949758          1.77695004          1.25098721 
    2.5448          5.04356852          4.80116531          3.80379306          3.41570174          2.76590205          2.21988256          1.77713238          1.25137319 
    2.5451          5.04403629          4.80160362          3.80424099          3.41581775          2.76643962          2.22024924          1.77728483          1.25171304 
    2.5453          5.04450864          4.80204149          3.80469492          3.41593460          2.76696475          2.22060287          1.77739358          1.25200475 
    2.5456          5.04498515          4.80248344          3.80515412          3.41604924          2.76747779          2.22094626          1.77746896          1.25229012 
    2.5458          5.04546052          4.80292731          3.80561472          3.41617000          2.76798574          2.22125219          1.77749177          1.25253678 
    2.5460          5.04593826          4.80337212          3.80607574          3.41629553          2.76848445          2.22154921          1.77747607          1.25273250 
    2.5463          5.04641714          4.80381657          3.80653477          3.41641787          2.76897640          2.22181283          1.77743427          1.25290467 
    2.5465          5.04689309          4.80425808          3.80699846          3.41654037          2.76945793          2.22203717          1.77737569          1.25301882 
    2.5468          5.04736673          4.80470055          3.80746121          3.41666180          2.76992546          2.22224431          1.77729247          1.25308824 
    2.5470          5.04784149          4.80514605          3.80792838          3.41678289          2.77037449          2.22241432          1.77719090          1.25314956 
    2.5473          5.04831247          4.80559401          3.80839516          3.41690615          2.77081090          2.22255074          1.77707769          1.25321512 
    2.5475          5.04877824          4.80604270          3.80885504          3.41702797          2.77123671          2.22266043          1.77696154          1.25330362 
    2.5478          5.04924208          4.80648942          3.80930235          3.41715066          2.77165400          2.22275390          1.77686240          1.25344241 
    2.5480          5.04970568          4.80693505          3.80974444          3.41727956          2.77206977          2.22283460          1.77677680          1.25361044 
    2.5483          5.05017026          4.80737832          3.81017815          3.41741929          2.77246264          2.22289906          1.77669760          1.25376304 
    2.5485          5.05062981          4.80782306          3.81061019          3.41756781          2.77283561          2.22295454          1.77663514          1.25391645 
    2.5488          5.05108477          4.80826860          3.81104090          3.41772584          2.77320188          2.22300197          1.77661560          1.25408148 
    2.5490          5.05154269          4.80871167          3.81145772          3.41789254          2.77356506          2.22303984          1.77662933          1.25425031 
    2.5492          5.05200313          4.80915495          3.81186368          3.41806734          2.77392618          2.22306438          1.77668152          1.25442032 
    2.5495          5.05246201          4.80959562          3.81225830          3.41825015          2.77429335          2.22307615          1.77676815          1.25460422 
    2.5497          5.05291790          4.81003272          3.81264511          3.41843444          2.77468116          2.22308685          1.77689107          1.25478191 
    2.5500          5.05337515          4.81046876          3.81301628          3.41861318          2.77507565          2.22310606          1.77706363          1.25493167 
    2.5502          5.05383022          4.81090699          3.81338331          3.41880224          2.77548986          2.22313867          1.77726970          1.25508809 
    2.5505          5.05428549          4.81134477          3.81374602          3.41899494          2.77592344          2.22318114          1.77750947          1.25522231 
    2.5507          5.05474052          4.81177991          3.81411173          3.41918980          2.77637083          2.22322415          1.77777515          1.25536358 
    2.5510          5.05520178          4.81221444          3.81447952          3.41938684          2.77682808          2.22326231          1.77807389          1.25551258 
    2.5512          5.05566454          4.81264921          3.81484796          3.41958392          2.77730182          2.22332636          1.77839408          1.25565913 
    2.5514          5.05612743          4.81308661          3.81521317          3.41977991          2.77778935          2.22341781          1.77873396          1.25581373 
    2.5517          5.05659663          4.81352404          3.81557626          3.41997574          2.77828196          2.22352456          1.77907906          1.25602009 
    2.5519          5.05706482          4.81396592          3.81593120          3.42017001          2.77877920          2.22365056          1.77943184          1.25624327 
    2.5522          5.05753477          4.81440766          3.81627907          3.42035290          2.77927066          2.22379354          1.77979975          1.25652124 
    2.5524          5.05800588          4.81485029          3.81661859          3.42052773          2.77976350          2.22395224          1.78018885          1.25685028 
    2.5527          5.05848122          4.81529158          3.81694943          3.42069397          2.78025539          2.22411995          1.78060558          1.25722798 
    2.5529          5.05895755          4.81573286          3.81726621          3.42085455          2.78075311          2.22429214          1.78104113          1.25761969 
    2.5532          5.05943635          4.81617243          3.81757655          3.42100693          2.78124291          2.22444928          1.78149569          1.25803834 
    2.5534          5.05991056          4.81661201          3.81788144          3.42115651          2.78172490          2.22459728          1.78196457          1.25850614 
    2.5536          5.06038559          4.81705209          3.81818424          3.42129912          2.78220931          2.22474207          1.78245857          1.25900247 
    2.5539          5.06086450          4.81749303          3.81849209          3.42143735          2.78269336          2.22488014          1.78297039          1.25953978 
    2.5541          5.06134357          4.81793236          3.81881302          3.42156798          2.78316820          2.22499930          1.78348700          1.26010827 
    2.5544          5.06182034          4.81837546          3.81914227          3.42169330          2.78363470          2.22509184          1.78398455          1.26065307 
    2.5546          5.06229072          4.81881696          3.81947843          3.42181331          2.78410055          2.22515438          1.78449254          1.26119496 
    2.5549          5.06276380          4.81925550          3.81982430          3.42192915          2.78456099          2.22521192          1.78500939          1.26174143 
    2.5551          5.06323655          4.81969370          3.82017948          3.42203358          2.78500702          2.22526000          1.78553195          1.26229157 
    2.5553          5.06370926          4.82013380          3.82053577          3.42212736          2.78543912          2.22530894          1.78603922          1.26282710 
    2.5556          5.06418140          4.82057315          3.82088940          3.42220693          2.78585864          2.22535308          1.78654384          1.26331893 
    2.5558          5.06465457          4.82100986          3.82123914          3.42227516          2.78627518          2.22541335          1.78704605          1.26377534 
    2.5561          5.06513237          4.82144175          3.82158099          3.42233807          2.78667944          2.22548651          1.78753711          1.26418053 
    2.5563          5.06561038          4.82187346          3.82192352          3.42240800          2.78708269          2.22557905          1.78800633          1.26451865 
    2.5565          5.06608695          4.82230519          3.82226572          3.42248335          2.78748112          2.22570337          1.78846661          1.26479695 
    2.5568          5.06656291          4.82273571          3.82259995          3.42257632          2.78787873          2.22584447          1.78890449          1.26503330 
    2.5570          5.06703700          4.82316048          3.82292974          3.42268055          2.78826889          2.22600320          1.78933613          1.26522325 
    2.5573          5.06751121          4.82358365          3.82326127          3.42279222          2.78865127          2.22618214          1.78975268          1.26537118 
    2.5575          5.06798407          4.82400077          3.82359773          3.42290851          2.78901722          2.22639962          1.79013865          1.26544709 
    2.5577          5.06845491          4.82441249          3.82393397          3.42303766          2.78936640          2.22665190          1.79051151          1.26545841 
    2.5580          5.06892371          4.82482703          3.82426121          3.42317313          2.78969714          2.22692498          1.79088185          1.26543236 
    2.5582          5.06938850          4.82524404          3.82458353          3.42330825          2.79000449          2.22721058          1.79123366          1.26540337 
    2.5585          5.06985185          4.82566192          3.82489985          3.42343796          2.79029391          2.22753101          1.79156945          1.26536729 
    2.5587          5.07031277          4.82607615          3.82521160          3.42356197          2.79057361          2.22786536          1.79191261          1.26533157 
    2.5589          5.07077198          4.82648763          3.82552034          3.42368496          2.79084832          2.22820559          1.79224805          1.26528908 
    2.5592          5.07123162          4.82689966          3.82582408          3.42380550          2.79111061          2.22855577          1.79258559          1.26525482 
    2.5594          5.07168746          4.82731206          3.82612720          3.42392679          2.79136659          2.22892070          1.79295177          1.26523800 
    2.5597          5.07214047          4.82772631          3.82643310          3.42405680          2.79162067          2.22928809          1.79338339          1.26524579 
    2.5599          5.07259333          4.82814007          3.82673817          3.42419474          2.79185661          2.22965137          1.79386178          1.26525719 
    2.5601          5.07304622          4.82855176          3.82704279          3.42433693          2.79208651          2.22999576          1.79437883          1.26530147 
    2.5604          5.07349971          4.82896249          3.82734905          3.42448598          2.79230921          2.23033573          1.79491317          1.26533886 
    2.5606          5.07395084          4.82937410          3.82765360          3.42463948          2.79252041          2.23065073          1.79547880          1.26537237 
    2.5609          5.07440123          4.82978511          3.82795642          3.42480092          2.79273948          2.23095189          1.79608161          1.26542271 
    2.5611          5.07485398          4.83019694          3.82825712          3.42496875          2.79295255          2.23125589          1.79672796          1.26544233 
    2.5613          5.07530663          4.83060821          3.82855477          3.42514645          2.79317512          2.23154179          1.79737301          1.26544116 
    2.5616          5.07575702          4.83102043          3.82885091          3.42533688          2.79339200          2.23180848          1.79803146          1.26541712 
    2.5618          5.07620622          4.83143477          3.82915141          3.42553629          2.79361930          2.23207229          1.79869051          1.26534860 
    2.5621          5.07665555          4.83185243          3.82944660          3.42574180          2.79385385          2.23232967          1.79933747          1.26523659 
    2.5623          5.07710402          4.83227134          3.82973872          3.42594540          2.79408908          2.23258505          1.79996975          1.26510354 
    2.5625          5.07755227          4.83269037          3.83002548          3.42615162          2.79433849          2.23283397          1.80058737          1.26493414 
    2.5628          5.07800277          4.83310976          3.83030487          3.42635817          2.79460905          2.23310425          1.80119350          1.26472420 
    2.5630          5.07845215          4.83352551          3.83057503          3.42656426          2.79490060          2.23339413          1.80177509          1.26447016 
    2.5632          5.07889616          4.83394266          3.83084571          3.42676187          2.79520772          2.23370171          1.80231652          1.26417220 
    2.5635          5.07933730          4.83436055          3.83112244          3.42694965          2.79552139          2.23403432          1.80281783          1.26382877 
    2.5637          5.07977929          4.83477856          3.83140203          3.42713243          2.79584960          2.23440606          1.80325786          1.26342089 
    2.5640          5.08021685          4.83519169          3.83168676          3.42730799          2.79619404          2.23481019          1.80365420          1.26299641 
    2.5642          5.08065081          4.83560450          3.83197712          3.42748051          2.79654119          2.23526063          1.80402910          1.26256668 
    2.5644          5.08108409          4.83601865          3.83227131          3.42765561          2.79688225          2.23574004          1.80437296          1.26215658 
    2.5647          5.08151507          4.83643298          3.83257142          3.42782032          2.79722211          2.23624496          1.80470190          1.26174882 
    2.5649          5.08194862          4.83684749          3.83287990          3.42798201          2.79756775          2.23678549          1.80501557          1.26133366 
    2.5651          5.08238465          4.83726355          3.83318690          3.42813916          2.79791043          2.23735357          1.80531782          1.26090507 
    2.5654          5.08281967          4.83768017          3.83350078          3.42828695          2.79825681          2.23796811          1.80563176          1.26050183 
    2.5656          5.08325709          4.83809848          3.83381810          3.42842911          2.79860234          2.23863304          1.80594572          1.26008763 
    2.5658          5.08369615          4.83851762          3.83413591          3.42856857          2.79894935          2.23934671          1.80625672          1.25967321 
    2.5661          5.08413320          4.83893524          3.83445376          3.42870643          2.79929933          2.24009050          1.80659285          1.25925992 
    2.5663          5.08456774          4.83935464          3.83477597          3.42883903          2.79965994          2.24085177          1.80694548          1.25884500 
    2.5666          5.08500009          4.83977325          3.83510494          3.42896457          2.80002709          2.24163342          1.80731452          1.25841419 
    2.5668          5.08543027          4.84019393          3.83544670          3.42908617          2.80039812          2.24243604          1.80769848          1.25799353 
    2.5670          5.08585624          4.84061586          3.83578929          3.42920246          2.80078449          2.24326456          1.80810321          1.25756429 
    2.5673          5.08628210          4.84103815          3.83613672          3.42931783          2.80118634          2.24411854          1.80853323          1.25714475 
    2.5675          5.08670971          4.84145880          3.83648825          3.42943189          2.80160316          2.24496300          1.80897569          1.25671442 
    2.5677          5.08714189          4.84187653          3.83684456          3.42955857          2.80202497          2.24582129          1.80941657          1.25630729 
    2.5680          5.08757332          4.84229092          3.83719579          3.42970017          2.80243515          2.24669027          1.80985531          1.25591044 
    2.5682          5.08800314          4.84270707          3.83755350          3.42984575          2.80284789          2.24754385          1.81028100          1.25548871 
    2.5684          5.08843212          4.84312576          3.83791667          3.42999796          2.80327346          2.24838156          1.81070055          1.25509837 
    2.5687          5.08886185          4.84354128          3.83827735          3.43016512          2.80369871          2.24922369          1.81108959          1.25476391 
    2.5689          5.08929142          4.84395550          3.83863320          3.43033398          2.80412819          2.25006560          1.81146706          1.25448244 
    2.5691          5.08971978          4.84437214          3.83898531          3.43051241          2.80456976          2.25088778          1.81184910          1.25427578 
    2.5694          5.09014566          4.84478846          3.83933734          3.43070752          2.80501378          2.25169417          1.81223100          1.25415986 
    2.5696          5.09057359          4.84520677          3.83968533          3.43091439          2.80546960          2.25247503          1.81261199          1.25410489 
    2.5698          5.09099906          4.84562479          3.84003970          3.43113068          2.80593521          2.25322638          1.81300621          1.25410678 
    2.5701          5.09142485          4.84603888          3.84039891          3.43135952          2.80642141          2.25396638          1.81341583          1.25418038 
    2.5703          5.09185004          4.84644939          3.84075508          3.43159804          2.80692460          2.25470733          1.81383265          1.25434509 
    2.5705          5.09227426          4.84685908          3.84110348          3.43184284          2.80744959          2.25543859          1.81425346          1.25460078 
    2.5708          5.09269854          4.84727138          3.84145174          3.43208917          2.80799684          2.25615929          1.81465070          1.25490827 
    2.5710          5.09312275          4.84767766          3.84179930          3.43233096          2.80856826          2.25686926          1.81502524          1.25524889 
    2.5712          5.09354891          4.84808026          3.84214208          3.43257056          2.80915238          2.25756553          1.81538619          1.25561720 
    2.5715          5.09397334          4.84848587          3.84247330          3.43280752          2.80973766          2.25825330          1.81574430          1.25601397 
    2.5717          5.09439503          4.84889071          3.84280000          3.43303929          2.81032295          2.25895589          1.81608738          1.25642252 
    2.5719          5.09481697          4.84929399          3.84312643          3.43326938          2.81091029          2.25966563          1.81642195          1.25681456 
    2.5722          5.09523685          4.84969315          3.84345298          3.43350313          2.81151092          2.26039001          1.81674899          1.25718207 
    2.5724          5.09565308          4.85009216          3.84377930          3.43373558          2.81211293          2.26113604          1.81705954          1.25756387 
    2.5726          5.09607535          4.85049434          3.84410357          3.43396995          2.81271499          2.26191014          1.81734543          1.25793890 
    2.5729          5.09650011          4.85089630          3.84442045          3.43420290          2.81332033          2.26270532          1.81762835          1.25830329 
    2.5731          5.09692456          4.85129861          3.84473194          3.43444344          2.81392549          2.26351288          1.81792495          1.25866397 
    2.5733          5.09734770          4.85169902          3.84504023          3.43469195          2.81453074          2.26431757          1.81822886          1.25903767 
    2.5736          5.09777224          4.85209461          3.84533841          3.43493764          2.81514028          2.26512836          1.81852480          1.25944178 
    2.5738          5.09819657          4.85248586          3.84563258          3.43518099          2.81574305          2.26593235          1.81880918          1.25986491 
    2.5740          5.09862069          4.85287503          3.84592107          3.43543033          2.81635288          2.26673566          1.81910022          1.26027603 
    2.5743          5.09904689          4.85326026          3.84620488          3.43568359          2.81696039          2.26753650          1.81940362          1.26072448 
    2.5745          5.09947267          4.85364307          3.84649046          3.43593632          2.81755696          2.26833207          1.81970715          1.26119107 
    2.5747          5.09989701          4.85402496          3.84677875          3.43619118          2.81815199          2.26911601          1.81998723          1.26167599 
    2.5750          5.10031793          4.85440807          3.84706569          3.43645341          2.81874585          2.26989494          1.82025254          1.26216375 
    2.5752          5.10073869          4.85479286          3.84736045          3.43672927          2.81933414          2.27065810          1.82050991          1.26264112 
    2.5754          5.10116001          4.85518265          3.84766408          3.43701098          2.81990995          2.27140196          1.82075951          1.26312988 
    2.5756          5.10157969          4.85557802          3.84797844          3.43729348          2.82047117          2.27210616          1.82100158          1.26360843 
    2.5759          5.10200116          4.85597364          3.84830401          3.43758049          2.82102378          2.27278589          1.82126148          1.26409534 
    2.5761          5.10242436          4.85636872          3.84862984          3.43787475          2.82156730          2.27345611          1.82155399          1.26461345 
    2.5763          5.10284997          4.85676278          3.84895237          3.43816619          2.82210007          2.27412179          1.82188086          1.26515329 
    2.5766          5.10327314          4.85715633          3.84926546          3.43846219          2.82263180          2.27478033          1.82224341          1.26569405 
    2.5768          5.10369698          4.85755116          3.84956772          3.43875473          2.82316544          2.27542705          1.82265174          1.26622910 
    2.5770          5.10412092          4.85794870          3.84985881          3.43904709          2.82370151          2.27605733          1.82310697          1.26672823 
    2.5773          5.10454393          4.85834654          3.85013796          3.43934006          2.82424289          2.27669214          1.82361665          1.26724543 
    2.5775          5.10496748          4.85874417          3.85041873          3.43962522          2.82478259          2.27732988          1.82416909          1.26775254 
    2.5777          5.10539473          4.85914212          3.85069805          3.43991289          2.82531833          2.27796227          1.82476261          1.26824782 
    2.5780          5.10582191          4.85953645          3.85097658          3.44019474          2.82585539          2.27858747          1.82537925          1.26872807 
    2.5782          5.10625121          4.85992757          3.85126133          3.44047575          2.82639865          2.27920828          1.82601783          1.26918336 
    2.5784          5.10668113          4.86031573          3.85154545          3.44075224          2.82694324          2.27982224          1.82667425          1.26963629 
    2.5786          5.10711444          4.86070369          3.85183602          3.44102688          2.82749173          2.28043354          1.82734101          1.27008731 
    2.5789          5.10754970          4.86109490          3.85213530          3.44130602          2.82803917          2.28103476          1.82802570          1.27052708 
    2.5791          5.10798205          4.86148746          3.85243661          3.44159146          2.82859462          2.28161111          1.82871049          1.27095043 
    2.5793          5.10841696          4.86188418          3.85273485          3.44188793          2.82914829          2.28218675          1.82938523          1.27135837 
    2.5796          5.10885162          4.86228347          3.85303258          3.44220113          2.82970126          2.28275828          1.83004131          1.27173123 
    2.5798          5.10928506          4.86268199          3.85333403          3.44252141          2.83025069          2.28330602          1.83068748          1.27205126 
    2.5800          5.10971749          4.86307886          3.85363713          3.44285004          2.83079086          2.28382498          1.83132818          1.27236924 
    2.5802          5.11014912          4.86347555          3.85394380          3.44318553          2.83132030          2.28432068          1.83197422          1.27266310 
    2.5805          5.11058169          4.86387313          3.85424566          3.44351971          2.83184357          2.28479464          1.83260970          1.27291319 
    2.5807          5.11101314          4.86427043          3.85454504          3.44385169          2.83235822          2.28523957          1.83324495          1.27313545 
    2.5809          5.11144513          4.86466678          3.85484313          3.44418000          2.83286299          2.28567396          1.83387527          1.27331618 
    2.5812          5.11188142          4.86506103          3.85513990          3.44450869          2.83336083          2.28608856          1.83451553          1.27346005 
    2.5814          5.11231540          4.86545608          3.85543456          3.44483823          2.83384328          2.28648512          1.83516655          1.27355391 
    2.5816          5.11275234          4.86584744          3.85573634          3.44516064          2.83431757          2.28686600          1.83583832          1.27359942 
    2.5818          5.11319191          4.86624297          3.85603913          3.44547569          2.83477452          2.28725231          1.83653842          1.27363248 
    2.5821          5.11363425          4.86663544          3.85634467          3.44579031          2.83519729          2.28763656          1.83725978          1.27365912 
    2.5823          5.11407367          4.86702569          3.85664443          3.44609269          2.83559611          2.28801328          1.83799240          1.27367573 
    2.5825          5.11451420          4.86741338          3.85694309          3.44638379          2.83596155          2.28838649          1.83873554          1.27364561 
    2.5827          5.11495335          4.86780250          3.85724107          3.44666643          2.83630748          2.28876153          1.83948479          1.27357535 
    2.5830          5.11538918          4.86818994          3.85754285          3.44694596          2.83662819          2.28914341          1.84024449          1.27347424 
    2.5832          5.11582639          4.86857756          3.85784060          3.44721498          2.83690943          2.28953187          1.84101998          1.27336009 
    2.5834          5.11626379          4.86896754          3.85814009          3.44747735          2.83715592          2.28992182          1.84179901          1.27321217 
    2.5837          5.11670103          4.86935698          3.85843447          3.44773607          2.83736346          2.29030837          1.84256902          1.27304600 
    2.5839          5.11714217          4.86974587          3.85872210          3.44798922          2.83754560          2.29069839          1.84331356          1.27281574 
    2.5841          5.11758352          4.87013295          3.85900201          3.44823836          2.83771703          2.29108042          1.84402419          1.27251188 
    2.5843          5.11802452          4.87051882          3.85927433          3.44848841          2.83786653          2.29144760          1.84469115          1.27214543 
    2.5846          5.11846487          4.87090406          3.85954191          3.44874314          2.83799871          2.29179691          1.84532579          1.27170354 
    2.5848          5.11890507          4.87128882          3.85980271          3.44900113          2.83811347          2.29213513          1.84593893          1.27120977 
    2.5850          5.11934256          4.87167280          3.86006395          3.44925944          2.83821426          2.29246256          1.84653564          1.27069843 
    2.5852          5.11978288          4.87205768          3.86031836          3.44951257          2.83830643          2.29276782          1.84711482          1.27017545 
    2.5855          5.12022215          4.87244278          3.86057798          3.44976167          2.83838537          2.29304465          1.84768161          1.26964520 
    2.5857          5.12065961          4.87282459          3.86084166          3.45000546          2.83845138          2.29329333          1.84824865          1.26911471 
    2.5859          5.12109665          4.87321079          3.86110601          3.45025416          2.83850844          2.29350746          1.84879955          1.26859210 
    2.5861          5.12153343          4.87359817          3.86137912          3.45050078          2.83855262          2.29368918          1.84934410          1.26808709 
    2.5864          5.12196923          4.87398136          3.86165225          3.45073662          2.83858704          2.29382676          1.84987987          1.26762916 
    2.5866          5.12240338          4.87436103          3.86193149          3.45096407          2.83861494          2.29392905          1.85037931          1.26719904 
    2.5868          5.12283899          4.87473978          3.86221360          3.45119665          2.83863375          2.29399058          1.85086023          1.26680251 
    2.5870          5.12327595          4.87511586          3.86249495          3.45142432          2.83863829          2.29401331          1.85132430          1.26641991 
    2.5873          5.12371243          4.87549274          3.86277923          3.45165497          2.83863007          2.29399574          1.85177259          1.26608492 
    2.5875          5.12415004          4.87586866          3.86306588          3.45188374          2.83862038          2.29394784          1.85219804          1.26579193 
    2.5877          5.12459185          4.87623984          3.86335393          3.45211211          2.83861976          2.29387583          1.85258972          1.26552298 
    2.5879          5.12503404          4.87660768          3.86364687          3.45234676          2.83860302          2.29376567          1.85293446          1.26528920 
    2.5882          5.12547789          4.87697450          3.86395320          3.45258355          2.83858455          2.29362811          1.85324348          1.26508336 
    2.5884          5.12591812          4.87734321          3.86426868          3.45282236          2.83855547          2.29347702          1.85351709          1.26486240 
    2.5886          5.12635600          4.87771312          3.86459235          3.45306614          2.83851059          2.29330039          1.85376593          1.26461834 
    2.5888          5.12679513          4.87807969          3.86492798          3.45332040          2.83846387          2.29311342          1.85398755          1.26435176 
    2.5891          5.12723414          4.87844549          3.86527261          3.45358333          2.83841638          2.29292721          1.85418376          1.26406762 
    2.5893          5.12767004          4.87880889          3.86561893          3.45385530          2.83835932          2.29274794          1.85434743          1.26377296 
    2.5895          5.12810249          4.87916783          3.86597104          3.45413289          2.83829808          2.29256585          1.85448380          1.26344452 
    2.5897          5.12853125          4.87952297          3.86631644          3.45441322          2.83825118          2.29239948          1.85461119          1.26314640 
    2.5899          5.12896243          4.87987652          3.86665092          3.45469530          2.83821595          2.29225806          1.85473755          1.26286593 
    2.5902          5.12939544          4.88023011          3.86698017          3.45498179          2.83819992          2.29213533          1.85484686          1.26259629 
    2.5904          5.12982776          4.88058576          3.86730915          3.45527022          2.83820308          2.29205180          1.85494039          1.26237149 
    2.5906          5.13026125          4.88094364          3.86764384          3.45555549          2.83823280          2.29201707          1.85502530          1.26218738 
    2.5908          5.13069731          4.88130073          3.86798743          3.45583600          2.83828140          2.29202740          1.85511656          1.26202495 
    2.5911          5.13113485          4.88165704          3.86833606          3.45611023          2.83834344          2.29207044          1.85518643          1.26190495 
    2.5913          5.13157041          4.88201532          3.86869423          3.45638449          2.83840896          2.29213370          1.85523527          1.26180712 
    2.5915          5.13200748          4.88237709          3.86905827          3.45665320          2.83847169          2.29222413          1.85526961          1.26172849 
    2.5917          5.13243849          4.88273986          3.86942120          3.45692245          2.83852738          2.29232362          1.85532450          1.26165811 
    2.5920          5.13286886          4.88310063          3.86977854          3.45719158          2.83857532          2.29242874          1.85539360          1.26161850 
    2.5922          5.13329822          4.88346090          3.87013396          3.45745468          2.83861801          2.29253919          1.85547969          1.26159373 
    2.5924          5.13372744          4.88381903          3.87049038          3.45772020          2.83866924          2.29265916          1.85559094          1.26153173 
    2.5926          5.13415574          4.88417802          3.87084524          3.45799314          2.83872931          2.29277467          1.85571909          1.26143737 
    2.5928          5.13458157          4.88453791          3.87119072          3.45827069          2.83880715          2.29290774          1.85588323          1.26130091 
    2.5931          5.13500833          4.88489653          3.87153077          3.45855503          2.83890387          2.29306631          1.85608684          1.26115098 
    2.5933          5.13543449          4.88525369          3.87186753          3.45884372          2.83901541          2.29325072          1.85629863          1.26100789 
    2.5935          5.13586065          4.88561068          3.87220505          3.45913940          2.83913908          2.29345136          1.85651426          1.26083726 
    2.5937          5.13628633          4.88596777          3.87254146          3.45943752          2.83926600          2.29366784          1.85673323          1.26067236 
    2.5940          5.13670975          4.88632493          3.87288424          3.45973734          2.83941170          2.29388572          1.85695231          1.26053386 
    2.5942          5.13713557          4.88668331          3.87322967          3.46003983          2.83958013          2.29411444          1.85718726          1.26042240 
    2.5944          5.13756179          4.88704297          3.87358160          3.46034246          2.83975547          2.29435098          1.85742649          1.26036662 
    2.5946          5.13799021          4.88739935          3.87393311          3.46064409          2.83993698          2.29460941          1.85765443          1.26033923 
    2.5948          5.13842384          4.88775455          3.87429128          3.46093988          2.84012480          2.29488139          1.85786138          1.26031606 
    2.5951          5.13886069          4.88810727          3.87466009          3.46122473          2.84031973          2.29518156          1.85804718          1.26030896 
    2.5953          5.13929904          4.88845698          3.87503659          3.46150387          2.84052543          2.29550781          1.85821367          1.26029923 
    2.5955          5.13973862          4.88880373          3.87541608          3.46177999          2.84074434          2.29584863          1.85836115          1.26028714 
    2.5957          5.14017741          4.88914806          3.87579706          3.46204852          2.84096056          2.29619319          1.85848623          1.26026752 
    2.5959          5.14061531          4.88949119          3.87617323          3.46230730          2.84116018          2.29653315          1.85858603          1.26026092 
    2.5962          5.14105295          4.88983301          3.87654831          3.46255880          2.84136166          2.29689782          1.85863609          1.26026204 
    2.5964          5.14149001          4.89017685          3.87691777          3.46280194          2.84156207          2.29726585          1.85865409          1.26027140 
    2.5966          5.14192155          4.89052291          3.87728297          3.46303594          2.84176688          2.29763117          1.85865514          1.26029775 
    2.5968          5.14234899          4.89086922          3.87764627          3.46326424          2.84196440          2.29800632          1.85863220          1.26029076 
    2.5970          5.14277397          4.89121506          3.87801550          3.46348924          2.84215449          2.29838003          1.85859505          1.26026824 
    2.5973          5.14319768          4.89155611          3.87838394          3.46370874          2.84233543          2.29874768          1.85856950          1.26025432 
    2.5975          5.14362121          4.89189765          3.87874429          3.46392645          2.84250985          2.29910957          1.85858119          1.26020374 
    2.5977          5.14404408          4.89223905          3.87910060          3.46413968          2.84268959          2.29946163          1.85861848          1.26017566 
    2.5979          5.14446402          4.89257824          3.87944591          3.46435050          2.84287060          2.29980304          1.85867111          1.26014105 
    2.5981          5.14487893          4.89291639          3.87978332          3.46455594          2.84305780          2.30011453          1.85874414          1.26007883 
    2.5984          5.14529284          4.89325387          3.88011483          3.46476190          2.84325454          2.30039242          1.85887691          1.25999900 
    2.5986          5.14570761          4.89359480          3.88044718          3.46496203          2.84345099          2.30065725          1.85907752          1.25990141 
