   log t (ps)      log MSD(A2)@ 5 K     log MSD(A2)@ 10 K   log MSD(A2)@ 20 K   log MSD(A2)@ 30 K   log MSD(A2)@ 60 K   log MSD(A2)@ 100 K  log MSD(A2)@ 300 K  log MSD(A2)@ 500 K    
    1.1004          2.32192901          2.05052975          1.54045640          1.29644169          0.87345457          0.62508176          0.20413646          0.03576696 
    1.1072          2.33552316          2.06376717          1.55374862          1.30836111          0.88551448          0.63521155          0.21083052          0.03990405 
    1.1139          2.34879260          2.07683099          1.56671320          1.32021799          0.89733616          0.64533560          0.21764455          0.04378379 
    1.1206          2.36184743          2.08977247          1.57938393          1.33189093          0.90884445          0.65540879          0.22440048          0.04751035 
    1.1271          2.37469620          2.10246351          1.59181760          1.34334853          0.91997355          0.66540060          0.23109836          0.05097204 
    1.1335          2.38741142          2.11495665          1.60406719          1.35460766          0.93073656          0.67522114          0.23780094          0.05409009 
    1.1399          2.39990621          2.12726232          1.61616531          1.36561977          0.94115818          0.68485090          0.24442739          0.05682292 
    1.1461          2.41220760          2.13939797          1.62806765          1.37638096          0.95128655          0.69422575          0.25095189          0.05924618 
    1.1523          2.42437406          2.15129674          1.63971223          1.38689037          0.96106704          0.70341732          0.25748325          0.06136781 
    1.1584          2.43639504          2.16300805          1.65117386          1.39709777          0.97049368          0.71242153          0.26401808          0.06322497 
    1.1644          2.44823937          2.17457807          1.66241345          1.40711103          0.97970067          0.72116815          0.27055449          0.06477170 
    1.1703          2.45997342          2.18604504          1.67347259          1.41696125          0.98882669          0.72958736          0.27697020          0.06582750 
    1.1761          2.47156657          2.19742361          1.68435684          1.42666043          0.99790536          0.73774348          0.28326773          0.06646311 
    1.1818          2.48303600          2.20865194          1.69508119          1.43621168          1.00696370          0.74556193          0.28960719          0.06663110 
    1.1875          2.49435163          2.21967069          1.70569572          1.44563832          1.01598478          0.75310032          0.29604122          0.06617853 
    1.1931          2.50548971          2.23052925          1.71622370          1.45487635          1.02497325          0.76039648          0.30258968          0.06532305 
    1.1987          2.51642511          2.24127596          1.72666950          1.46398664          1.03389263          0.76740801          0.30914389          0.06401067 
    1.2041          2.52724116          2.25195153          1.73704759          1.47300856          1.04267980          0.77426162          0.31583215          0.06227237 
    1.2095          2.53788172          2.26248007          1.74731577          1.48200443          1.05147324          0.78092034          0.32257119          0.06012395 
    1.2148          2.54837706          2.27282711          1.75748561          1.49095689          1.06021468          0.78734176          0.32935068          0.05772472 
    1.2201          2.55881634          2.28306560          1.76752280          1.49983680          1.06884876          0.79352506          0.33616637          0.05511634 
    1.2253          2.56909396          2.29319163          1.77744956          1.50858833          1.07729231          0.79941406          0.34313310          0.05229772 
    1.2304          2.57916807          2.30319556          1.78733815          1.51727961          1.08565242          0.80507589          0.35019583          0.04940478 
    1.2355          2.58906666          2.31305778          1.79712696          1.52578170          1.09394634          0.81063805          0.35738995          0.04645816 
    1.2405          2.59885280          2.32277186          1.80680293          1.53419821          1.10209150          0.81603536          0.36453197          0.04350042 
    1.2455          2.60857547          2.33242368          1.81639802          1.54254596          1.11021848          0.82135020          0.37162455          0.04075126 
    1.2504          2.61821850          2.34200095          1.82588953          1.55082408          1.11832376          0.82654004          0.37867160          0.03822035 
    1.2553          2.62780817          2.35142325          1.83530046          1.55903892          1.12639713          0.83162445          0.38569724          0.03595448 
    1.2601          2.63733806          2.36074998          1.84462738          1.56728854          1.13443325          0.83671066          0.39259100          0.03388842 
    1.2648          2.64672695          2.36999619          1.85391854          1.57555955          1.14239902          0.84182904          0.39937441          0.03202302 
    1.2695          2.65596911          2.37916612          1.86318079          1.58385500          1.15033694          0.84699497          0.40614743          0.03048915 
    1.2742          2.66512497          2.38825836          1.87237599          1.59211935          1.15819820          0.85213674          0.41281715          0.02929556 
    1.2788          2.67417956          2.39729131          1.88146764          1.60038244          1.16590632          0.85729773          0.41936630          0.02837127 
    1.2833          2.68316907          2.40627098          1.89040767          1.60864942          1.17339937          0.86251841          0.42571178          0.02770270 
    1.2878          2.69208916          2.41521922          1.89920005          1.61690267          1.18060758          0.86772968          0.43183666          0.02732709 
    1.2923          2.70094013          2.42411638          1.90785841          1.62514147          1.18756367          0.87303140          0.43780086          0.02727722 
    1.2967          2.70965478          2.43293671          1.91632964          1.63334998          1.19426454          0.87838665          0.44359068          0.02751981 
    1.3010          2.71828383          2.44168007          1.92461936          1.64152955          1.20074886          0.88370770          0.44914904          0.02809971 
    1.3054          2.72683696          2.45032283          1.93273535          1.64963243          1.20708918          0.88895158          0.45453086          0.02902084 
    1.3096          2.73530016          2.45885521          1.94066049          1.65758168          1.21325258          0.89406855          0.45982548          0.03016967 
    1.3139          2.74364437          2.46729048          1.94844167          1.66535905          1.21934496          0.89900849          0.46503673          0.03158015 
    1.3181          2.75186785          2.47564411          1.95610424          1.67299263          1.22542060          0.90379946          0.47020972          0.03316917 
    1.3222          2.75999054          2.48384146          1.96371074          1.68055158          1.23146540          0.90837584          0.47534123          0.03495771 
    1.3263          2.76810671          2.49195616          1.97128251          1.68802404          1.23748072          0.91273061          0.48033869          0.03693268 
