    time (ps)       MSD(A2) @ 1K        MSD(A2) @ 5K        MSD(A2) @ 10K        MSD(A2) @ 20K        MSD(A2) @ 30K        MSD(A2) @ 35K        
   18.2000         18.71749726         13.62803516          6.86610845          2.46939749          1.08115614          0.00511176 
   18.4000         19.06152495         13.88030539          6.94750777          2.50827070          1.07652228          0.00582868 
   18.6000         19.40765495         14.13633853          7.03064173          2.54769499          1.07272686          0.00669438 
   18.8000         19.75619456         14.39455352          7.11437472          2.58712342          1.06978267          0.00770249 
   19.0000         20.10568628         14.65231750          7.19942367          2.62643282          1.06750833          0.00884561 
   19.2000         20.45191699         14.90731314          7.28649055          2.66508937          1.06586622          0.01014047 
   19.4000         20.79606679         15.15680222          7.37445075          2.70294156          1.06494478          0.01159934 
   19.6000         21.14126660         15.40152320          7.46502733          2.74031736          1.06482249          0.01320388 
   19.8000         21.48339994         15.64100079          7.55764782          2.77709465          1.06541746          0.01493642 
   20.0000         21.82328848         15.87628388          7.65081502          2.81286598          1.06684104          0.01680357 
   20.2000         22.16182265         16.10976416          7.74375463          2.84794013          1.06910617          0.01878402 
   20.4000         22.49675759         16.34001989          7.83553305          2.88287276          1.07193800          0.02086275 
   20.6000         22.82856912         16.57085651          7.92516820          2.91767380          1.07542506          0.02305210 
   20.8000         23.15956913         16.80430670          8.01307969          2.95263467          1.07936708          0.02531792 
   21.0000         23.49290230         17.03983553          8.09796398          2.98772918          1.08382136          0.02764016 
   21.2000         23.82821823         17.27749271          8.17957255          3.02230777          1.08876130          0.02999397 
   21.4000         24.16164831         17.51952127          8.25822539          3.05651141          1.09416183          0.03235068 
   21.6000         24.49647406         17.76487267          8.33408088          3.08999383          1.10024260          0.03467599 
   21.8000         24.83472468         18.01535385          8.40845166          3.12229543          1.10702623          0.03696525 
   22.0000         25.17843346         18.27173040          8.48385513          3.15389132          1.11417752          0.03921357 
   22.2000         25.52768288         18.53390861          8.55921506          3.18515324          1.12194130          0.04140764 
   22.4000         25.88278973         18.80521194          8.63475324          3.21581628          1.13010290          0.04351439 
   22.6000         26.24316271         19.08381916          8.71185805          3.24517527          1.13905547          0.04553261 
   22.8000         26.61340987         19.36783717          8.79192923          3.27382473          1.14866667          0.04745817 
   23.0000         26.99227356         19.65526322          8.87407412          3.30170740          1.15897413          0.04930003 
   23.2000         27.37933701         19.94769780          8.95958371          3.32870895          1.16973058          0.05104626 
   23.4000         27.77457919         20.24440690          9.04846242          3.35501948          1.18100592          0.05267927 
   23.6000         28.17657277         20.54115554          9.13796531          3.38156581          1.19250037          0.05416326 
   23.8000         28.58578903         20.83838318          9.22830605          3.40824116          1.20444875          0.05550450 
   24.0000         29.00006559         21.13573146          9.31963684          3.43459762          1.21643463          0.05672163 
   24.2000         29.41579775         21.43436961          9.41162257          3.46100057          1.22832514          0.05782878 
   24.4000         29.83451292         21.73243172          9.50397665          3.48727404          1.24012391          0.05883785 
   24.6000         30.25198966         22.02900694          9.59693987          3.51450096          1.25175492          0.05970644 
   24.8000         30.67209351         22.32011929          9.68881426          3.54278229          1.26327994          0.06044573 
   25.0000         31.09064938         22.60765614          9.78007470          3.57170674          1.27441327          0.06105793 
   25.2000         31.50726094         22.89018607          9.86927684          3.60127578          1.28518511          0.06151989 
   25.4000         31.92169858         23.16688620          9.95811365          3.63134579          1.29561430          0.06182545 
   25.6000         32.33435771         23.43785813         10.04671478          3.66159350          1.30562314          0.06198985 
   25.8000         32.74615307         23.70300613         10.13375997          3.69167051          1.31539797          0.06199044 
   26.0000         33.15836832         23.96416673         10.22011061          3.72106480          1.32465566          0.06182769 
   26.2000         33.56986885         24.22033645         10.30810275          3.74979581          1.33343710          0.06149910 
   26.4000         33.98127748         24.47403853         10.39783991          3.77724738          1.34167580          0.06103777 
   26.6000         34.39556834         24.72559013         10.48881267          3.80392831          1.34954252          0.06042307 
   26.8000         34.80918237         24.97766980         10.58243895          3.83069365          1.35713180          0.05968433 
   27.0000         35.22412277         25.23107061         10.67980809          3.85778820          1.36454806          0.05884244 
   27.2000         35.63803482         25.48527815         10.77931116          3.88411745          1.37172171          0.05790368 
   27.4000         36.05427876         25.73746244         10.88146315          3.91033649          1.37879119          0.05688638 
   27.6000         36.47250103         25.98987318         10.98754350          3.93642451          1.38607776          0.05577900 
   27.8000         36.88823839         26.24547324         11.09756269          3.96230164          1.39338464          0.05461106 
   28.0000         37.30175634         26.50311485         11.21227723          3.98799510          1.40063600          0.05339349 
   28.2000         37.71459796         26.76331324         11.33261225          4.01361295          1.40809531          0.05210375 
   28.4000         38.12682516         27.02629573         11.45490595          4.03958385          1.41565618          0.05075347 
   28.6000         38.53810026         27.29317063         11.58039139          4.06631011          1.42350157          0.04934378 
   28.8000         38.95374895         27.56197694         11.70883536          4.09344746          1.43157847          0.04784456 
   29.0000         39.37724375         27.83300041         11.83722817          4.11973120          1.43989631          0.04625781 
   29.2000         39.80544726         28.10785756         11.96663225          4.14563884          1.44850250          0.04461635 
   29.4000         40.23552723         28.38465012         12.09651891          4.17122890          1.45707222          0.04289027 
   29.6000         40.66595069         28.66620009         12.22734056          4.19629004          1.46572060          0.04105895 
   29.8000         41.10345582         28.95014625         12.35774224          4.22050563          1.47445740          0.03914989 
   30.0000         41.54475607         29.23727951         12.48758599          4.24451044          1.48330689          0.03714599 
   30.2000         41.98590612         29.52944540         12.61740149          4.26795376          1.49159258          0.03506933 
   30.4000         42.43544355         29.82613771         12.74682799          4.29118581          1.49977575          0.03295079 
   30.6000         42.88932758         30.12344255         12.87729079          4.31385531          1.50756859          0.03078829 
   30.8000         43.34488016         30.42122485         13.00686017          4.33583157          1.51483314          0.02860215 
   31.0000         43.79872993         30.71861568         13.13473344          4.35663459          1.52163001          0.02641603 
   31.2000         44.25235736         31.01112694         13.26001995          4.37681512          1.52787859          0.02425898 
   31.4000         44.70094408         31.30353143         13.38198071          4.39597534          1.53365811          0.02214743 
   31.6000         45.14534658         31.59281875         13.50065957          4.41432395          1.53901676          0.02010881 
   31.8000         45.58414266         31.87735203         13.61805994          4.43201899          1.54390804          0.01816003 
   32.0000         46.01866282         32.16061239         13.73314390          4.44978389          1.54822891          0.01631329 
   32.2000         46.44947044         32.43864921         13.84757814          4.46726222          1.55228951          0.01461337 
   32.4000         46.87257881         32.71545758         13.96065936          4.48503571          1.55629352          0.01306107 
   32.6000         47.28567565         32.98910273         14.07262029          4.50294659          1.56036186          0.01165965 
   32.8000         47.69358898         33.26170688         14.18491754          4.52023578          1.56447080          0.01043151 
   33.0000         48.09718774         33.53333353         14.29629876          4.53723156          1.56872585          0.00937216 
   33.2000         48.49315970         33.80629201         14.40707789          4.55263184          1.57314048          0.00848079 
   33.4000         48.88166772         34.08126164         14.51857594          4.56687759          1.57727074          0.00775939 
   33.6000         49.26490525         34.36113525         14.63193102          4.58127454          1.58150660          0.00721275 
   33.8000         49.64371888         34.64811243         14.74645487          4.59545851          1.58619738          0.00683766 
   34.0000         50.01246421         34.93981292         14.86388112          4.60946161          1.59104069          0.00663677 
   34.2000         50.37875436         35.23828309         14.98139128          4.62374881          1.59578600          0.00660679 
   34.4000         50.73794892         35.53719381         15.09767817          4.63871883          1.60021140          0.00673694 
   34.6000         51.09053945         35.83840387         15.21372420          4.65426740          1.60448671          0.00701109 
   34.8000         51.43722479         36.14230076         15.33113562          4.67081257          1.60851186          0.00742102 
   35.0000         51.77621144         36.44969681         15.44854985          4.68817594          1.61173967          0.00795240 
   35.2000         52.10660270         36.76847410         15.56669010          4.70605978          1.61466085          0.00861201 
   35.4000         52.43437427         37.09416505         15.68694000          4.72527223          1.61724011          0.00937286 
   35.6000         52.75710239         37.42702844         15.80925527          4.74563022          1.61972207          0.01021464 
   35.8000         53.07192701         37.76477248         15.93170960          4.76697218          1.62142180          0.01114546 
   36.0000         53.38613211         38.10501313         16.05235911          4.78825860          1.62197871          0.01215661 
   36.2000         53.70092007         38.45016723         16.17418068          4.81046289          1.62217401          0.01325454 
   36.4000         54.01755184         38.80124502         16.29757629          4.83433857          1.62200688          0.01444399 
   36.6000         54.33292245         39.15427380         16.42212462          4.85945426          1.62104866          0.01572539 
   36.8000         54.64717712         39.50825885         16.54679043          4.88594049          1.61980027          0.01709879 
   37.0000         54.95485490         39.85735972         16.67416804          4.91344318          1.61835983          0.01855293 
   37.2000         55.25763541         40.20211846         16.80075557          4.94288249          1.61650873          0.02010003 
   37.4000         55.55497443         40.54275709         16.92572983          4.97279167          1.61452581          0.02173059 
   37.6000         55.84889919         40.87615590         17.04986221          5.00356369          1.61251613          0.02345477 
   37.8000         56.14404173         41.20049550         17.17250399          5.03476509          1.61044919          0.02526220 
   38.0000         56.44145889         41.51957465         17.29394919          5.06687203          1.60797480          0.02713222 
   38.2000         56.73764170         41.83434512         17.41550663          5.09985576          1.60561783          0.02905412 
   38.4000         57.03597734         42.14730804         17.53637048          5.13469972          1.60283400          0.03103563 
