time (ns)   horizontal Ang. vel.(rad/ns)   vertical Ang. vel.(rad/ns) @ 300 K
   24.5000         54.93852700          9.04061940  
   24.6000        -16.60908900        159.63931000  
   24.7000         42.76298400       -316.74684000  
   24.8000         45.88249600       -290.34539000  
   24.9000         73.71095900       -340.60528000  
   25.0000        -15.18858700        378.96598000  
   25.1000        -18.52805400       -102.11544000  
   25.2000        -62.34509400         57.79451300  
   25.3000        -75.37370500       -197.39008000  
   25.4000        -55.65686000        -49.82556900  
   25.5000       -158.68627000        339.85855000  
   25.6000       -263.73774000        138.35772000  
   25.7000       -130.15062000        225.61370000  
   25.8000       -299.01368000        -89.29856900  
   25.9000       -214.21261000        -83.62147200  
   26.0000       -167.93436000        260.01078000  
   26.1000        -80.45338500         73.06683800  
   26.2000        -83.44254000        -44.98500800  
   26.3000       -118.86339000         47.65154200  
   26.4000       -289.67088000        -18.63223300  
   26.5000       -323.77629000         40.53469300  
   26.6000       -237.86501000        232.63435000  
   26.7000       -207.94400000         23.42979900  
   26.8000       -118.67427000        -63.08926700  
   26.9000        -71.80011900        -29.05237300  
   27.0000         48.32410300         16.35344900  
   27.1000        156.83347000       -187.57698000  
   27.2000        132.17652000       -134.64687000  
   27.3000        138.11574000          9.18537020  
   27.4000         88.02291600        -42.00133700  
   27.5000         35.83958500        161.21049000  
   27.6000         93.13062000        389.71049000  
   27.7000        161.72560000         93.66450600  
   27.8000        119.29684000         86.24880700  
   27.9000        244.58078000        272.54776000  
   28.0000        222.18989000          0.83371995  
   28.1000        139.30725000        -44.86914100  
   28.2000         31.98185000         78.14115300  
   28.3000         -5.47346750        -18.20774500  
   28.4000       -103.47681000        -28.46041200  
   28.5000       -143.75297000        147.64471000  
   28.6000       -241.30095000        265.93724000  
   28.7000       -386.20958000         70.19538400  
   28.8000       -243.78984000       -149.15387000  
   28.9000       -225.54066000        -59.08344400  
   29.0000       -154.68855000        -34.86029400  
   29.1000       -200.55553000       -104.39974000  
   29.2000       -155.59676000         55.76703500  
   29.3000       -134.26168000        -36.22791600  
   29.4000        -59.87918900        265.07820000  
   29.5000        -40.45803200        386.10009000  
   29.6000        -52.53386900         32.66070300  
   29.7000        -17.85009900        200.56844000  
   29.8000        -84.26149400       -280.71679000  
   29.9000       -180.03884000         86.73393600  
   30.0000        -10.16444200        -74.43407800  
   30.1000         61.05965600        151.27523000  
   30.2000         12.64283600        188.44636000  
   30.3000        -25.52825900       -220.18007000  
   30.4000        -57.53008300       -169.42166000  
   30.5000       -105.24268000        461.20799000  
   30.6000       -131.05552000       -686.42483000  
   30.7000       -201.24753000       -754.19705000  
   30.8000       -119.33080000       -665.50840000  
   30.9000       -219.08475000       -242.96983000  
   31.0000       -159.12499000        -24.17438900  
   31.1000       -139.53447000        177.65569000  
   31.2000       -158.93779000       -175.95137000  
   31.3000       -146.16307000       -119.98578000  
   31.4000       -101.05279000        126.15472000  
   31.5000       -146.70916000        214.41129000  
   31.6000        -98.22953900       -169.81676000  
   31.7000       -115.39117000         93.42735200  
   31.8000       -139.82411000        -24.25098100  
   31.9000        -47.47083600        -47.53992400  
   32.0000        -44.99862500        -53.41101500  
   32.1000        -63.68745100        295.92996000  
   32.2000       -112.31660000       -141.08138000  
   32.3000       -135.34594000        346.23290000  
   32.4000        -62.36483800       -209.38976000  
   32.5000         71.56974000        197.82973000  
   32.6000        112.28932000        114.52404000  
   32.7000         15.99946500        104.83181000  
   32.8000         59.50435400         42.76344800  
   32.9000         30.32697000       -176.84610000  
   33.0000        -46.26587400       -317.34502000  
   33.1000         17.22526300        128.35142000  
   33.2000         -8.13305070       -176.11290000  
   33.3000       -103.25157000          5.58788810  
   33.4000        -49.91869700         -7.79725110  
   33.5000       -147.36333000        203.83438000  
   33.6000       -157.94314000         98.50907000  
   33.7000       -223.55573000        248.50611000  
   33.8000       -247.18135000        138.11139000  
   33.9000       -257.63862000        302.04011000  
   34.0000       -413.13374000         85.96244200  
   34.1000       -359.51270000        -93.81470900  
   34.2000       -336.61400000       -159.93829000  
   34.3000       -317.33570000        233.57804000  
   34.4000       -209.90515000       -166.55181000  
   34.5000       -303.60704000       -245.57983000  
   34.6000       -379.62903000        117.56112000  
   34.7000       -356.30393000        169.70883000  
   34.8000       -478.11294000        -60.11347700  
   34.9000       -485.79624000        -17.43923100  
   35.0000       -478.91078000       -175.73349000  
   35.1000       -493.99965000       -120.52459000  
   35.2000       -436.57499000       -143.04706000  
   35.3000       -466.02480000        -28.43215000  
   35.4000       -457.72010000         74.75747800  
   35.5000       -287.94393000        220.74282000  
   35.6000       -217.02337000       -110.37370000  
   35.7000       -192.55681000       -106.12709000  
   35.8000       -282.05187000         17.25712200  
   35.9000       -256.88581000         88.86570400  
   36.0000        -71.66433400        -51.72708100  
   36.1000          8.37366380       -255.65737000  
   36.2000        101.96068000       -135.11034000  
   36.3000        209.43850000        -55.77840600  
   36.4000        188.00082000        -95.45837500  
   36.5000        268.65415000          9.32200220  
   36.6000        336.70700000       -290.62384000  
   36.7000        278.73456000        -96.51254400  
   36.8000        371.40751000        -28.49967100  
   36.9000        457.55051000        181.32441000  
   37.0000        264.38780000       -185.79427000  
   37.1000        276.27472000        154.95505000  
   37.2000        241.64794000         67.63663500  
   37.3000        357.48810000       -256.16526000  
   37.4000        330.39867000        -84.92338600  
   37.5000        296.80504000         -1.26827470  
   37.6000        351.68660000        -76.03323400  
   37.7000        359.82882000         27.57864600  
   37.8000        189.94892000       -161.06467000  
   37.9000        288.77086000        163.99155000  
   38.0000        190.95387000       -129.14952000  
   38.1000        130.15137000         72.07350600  
   38.2000         63.74317800       -218.30861000  
   38.3000        120.77220000        -83.22398100  
   38.4000        192.00195000        -67.44261700  
   38.5000         89.05499000       -288.94571000  
   38.6000        109.98212000       -520.59986000  
   38.7000        177.61140000        171.51252000  
   38.8000        213.34739000        -95.51030800  
   38.9000        184.27817000        -89.03571200  
   39.0000        179.05711000        196.33155000  
   39.1000        148.87432000       -207.04239000  
   39.2000          7.29277970       -201.71018000  
   39.3000       -108.80802000        -43.96151300  
   39.4000       -208.98660000        -32.57930600  
   39.5000       -256.23733000       -143.14737000  
   39.6000       -201.22960000         13.90970600  
   39.7000       -228.25909000        336.23472000  
   39.8000       -249.85266000        195.76835000  
   39.9000       -210.68062000         60.98549900  
   40.0000       -199.19718000         38.76707300  
