#Graphene & C60 12*12 Data file for LAMMPS

		5744  atoms

		2  atom types

		
		-60.174		60.174 	xlo xhi
		-61.684		61.684 	ylo yhi
		-60 		60	 	zlo zhi

Masses

		1     12.011   # Graphene	(Nose_Hoover)
		2     12.011   # C60		(Nose_Hoover)

Atoms

75	1	-15.3502981020405	-58.8469999655181	0
76	1	-14.1222751020405	-58.1379999655181	0
77	1	-11.6662281020405	-60.9739999655181	0
78	1	-12.8942511020405	-60.2649999655181	0
79	1	-12.8942511020405	-58.8469999655181	0
80	1	-11.6662281020405	-58.1379999655181	0
81	1	-9.21018110204047	-60.9739999655181	0
82	1	-10.4382041020405	-60.2649999655181	0
83	1	-10.4382041020405	-58.8469999655181	0
84	1	-9.21018110204047	-58.1379999655181	0
85	1	-6.75413410204046	-60.9739999655181	0
86	1	-7.98215710204046	-60.2649999655181	0
87	1	-7.98215710204046	-58.8469999655181	0
88	1	-6.75413410204046	-58.1379999655181	0
89	1	-4.29808310204047	-60.9739999655181	0
90	1	-5.52610610204047	-60.2649999655181	0
91	1	-5.52610610204047	-58.8469999655181	0
92	1	-4.29808310204047	-58.1379999655181	0
93	1	-1.84203610204046	-60.9739999655181	0
94	1	-3.07005910204046	-60.2649999655181	0
95	1	-3.07005910204046	-58.8469999655181	0
96	1	-1.84203610204046	-58.1379999655181	0
97	1	0.614010897959538	-60.9739999655181	0
98	1	-0.614012102040462	-60.2649999655181	0
99	1	-0.614012102040462	-58.8469999655181	0
100	1	0.614010897959538	-58.1379999655181	0
101	1	3.07005789795954	-60.9739999655181	0
102	1	1.84203489795954	-60.2649999655181	0
103	1	1.84203489795954	-58.8469999655181	0
104	1	3.07005789795954	-58.1379999655181	0
105	1	5.52610889795954	-60.9739999655181	0
106	1	4.29808589795954	-60.2649999655181	0
107	1	4.29808589795954	-58.8469999655181	0
108	1	5.52610889795954	-58.1379999655181	0
109	1	7.98215189795954	-60.9739999655181	0
110	1	6.75413289795954	-60.2649999655181	0
111	1	6.75413289795954	-58.8469999655181	0
112	1	7.98215189795954	-58.1379999655181	0
113	1	10.4382068979595	-60.9739999655181	0
114	1	9.21017989795953	-60.2649999655181	0
115	1	9.21017989795953	-58.8469999655181	0
116	1	10.4382068979595	-58.1379999655181	0
117	1	12.8942538979595	-60.9739999655181	0
118	1	11.6662268979595	-60.2649999655181	0
119	1	11.6662268979595	-58.8469999655181	0
120	1	12.8942538979595	-58.1379999655181	0
121	1	15.3503008979595	-60.9739999655181	0
122	1	14.1222738979595	-60.2649999655181	0
123	1	14.1222738979595	-58.8469999655181	0
124	1	15.3503008979595	-58.1379999655181	0
125	1	17.8063478979595	-60.9739999655181	0
126	1	16.5783208979595	-60.2649999655181	0
127	1	16.5783208979595	-58.8469999655181	0
128	1	17.8063478979595	-58.1379999655181	0
