#Graphite3layer & C60 12*12 Data file for LAMMPS

		11428  atoms

		3  atom types

		
		-60.1741		60.1739 	xlo xhi
		-61.4477		61.9203 	ylo yhi
		-60 			60	 	zlo zhi

Masses

		1     12.011   # Grapgite	(Nose_Hoover)
		2     12.011   # Graphene	(Nose_Hoover)		
		3     12.011   # C60		(Nose_Hoover)

Atoms

 255 1 -25.1745 -55.0657 -3.35001
 256 1 -23.9464 -54.3567 -3.35001
 257 1 -21.4904 -57.1927 -3.35001
 258 1 -22.7184 -56.4837 -3.35001
 259 1 -22.7184 -55.0657 -3.35001
 260 1 -21.4904 -54.3567 -3.35001
 261 1 -19.0343 -57.1927 -3.35001
 262 1 -20.2624 -56.4837 -3.35001
 263 1 -20.2624 -55.0657 -3.35001
 264 1 -19.0343 -54.3567 -3.35001
 265 1 -16.5783 -57.1927 -3.35001
 266 1 -17.8063 -56.4837 -3.35001
 267 1 -17.8063 -55.0657 -3.35001
 268 1 -16.5783 -54.3567 -3.35001
 269 1 -14.1222 -57.1927 -3.35001
 270 1 -15.3503 -56.4837 -3.35001
 271 1 -15.3503 -55.0657 -3.35001
 272 1 -14.1222 -54.3567 -3.35001
 273 1 -11.6662 -57.1927 -3.35001
 274 1 -12.8942 -56.4837 -3.35001
 275 1 -12.8942 -55.0657 -3.35001
 276 1 -11.6662 -54.3567 -3.35001
 277 1 -9.21011 -57.1927 -3.35001
 278 1 -10.4382 -56.4837 -3.35001
 279 1 -10.4382 -55.0657 -3.35001
 280 1 -9.21011 -54.3567 -3.35001
 281 1 -6.75411 -57.1927 -3.35001
 282 1 -7.98211 -56.4837 -3.35001
 283 1 -7.98211 -55.0657 -3.35001
 284 1 -6.75411 -54.3567 -3.35001
 285 1 -4.29801 -57.1927 -3.35001
 286 1 -5.52611 -56.4837 -3.35001
 287 1 -5.52611 -55.0657 -3.35001
 288 1 -4.29801 -54.3567 -3.35001
 289 1 -1.84201 -57.1927 -3.35001
 290 1 -3.07001 -56.4837 -3.35001
 291 1 -3.07001 -55.0657 -3.35001
 292 1 -1.84201 -54.3567 -3.35001
 293 1 0.614093 -57.1927 -3.35001
 294 1 -0.61401 -56.4837 -3.35001
 295 1 -0.61401 -55.0657 -3.35001
 296 1 0.614093 -54.3567 -3.35001
 297 1 3.07009 -57.1927 -3.35001
 298 1 1.84209 -56.4837 -3.35001
 299 1 1.84209 -55.0657 -3.35001
 300 1 3.07009 -54.3567 -3.35001
 301 1 5.52619 -57.1927 -3.35001
 302 1 4.29809 -56.4837 -3.35001
 303 1 4.29809 -55.0657 -3.35001
